strainName1,strainName2,distance
2,20,1
133,137,4
117,137,1.771
13,78,3
70,102,1.5
59,132,3
13,103,3
123,62,1.5
131,137,1.085
3,29,0.5
13,109,4.5
13,126,5
47,19,2.5
128,59,0.5
39,78,3.772
2,37,0
29,39,1
70,59,4
37,78,5.085
82,59,2
27,137,4.085
123,92,1
37,89,1.5
98,100,3
100,107,6.5
123,39,0.5
59,119,1.5
100,29,1.5
58,142,1
126,86,0.5
123,20,1
39,62,1
59,39,5
103,126,6.025
78,109,4.272
59,86,3.5
95,55,2
59,20,6
13,2,0
80,19,0.5
100,3,0.585
59,6,3
80,140,0.5
3,126,4.585
128,22,3.5
2,39,-1
22,92,2.5
59,103,6
13,3,1.085
3,39,0.5
142,126,5
100,62,1.5
100,123,0.39
22,114,2.5
95,47,1.5
123,2,0.5
39,134,2
22,87,2
61,142,0
98,126,5.5
19,72,1.5
13,123,0.5
98,114,4
27,126,5
29,20,1
100,74,4
29,109,7.5
47,140,3.5
13,107,6
59,2,5
92,20,1.5
126,107,6
37,39,1.271
87,25,3
20,78,6.271
39,126,4.5
89,109,8.5
27,133,1
92,2,-0.5
13,37,0.5
27,61,0.5
70,140,2.5
3,137,6.5
100,2,0
22,119,3
123,126,4.5
3,2,-0.5
47,72,3
100,117,0
3,107,5.5
70,47,2.735
112,131,3.5
74,126,1
37,20,1.5
22,103,5.437
70,72,3
3,62,1
58,65,1.5
22,25,0.5
59,13,4.028
13,100,0.5
59,112,1.735
103,107,5.5
112,22,4.5
59,114,3
20,126,5
128,109,7
92,27,2.937
1,58,1.5
100,20,1.5
3,20,1
98,86,5
117,107,5
59,137,6.437
92,137,2.322
61,126,4.5
27,1,1.771
80,72,2
70,80,2.5
59,80,0
2,62,0.5
117,126,5.437
29,126,6.5
59,98,4
58,61,1.5
59,37,5.5
47,59,5.5
2,126,5
59,117,5
29,62,1.5
59,29,6.5
98,92,2.5
103,57,5
100,78,4.5
1,61,1
137,57,4.5
22,137,4.5
132,133,1
100,81,1.5
100,92,0.668
112,81,5
3,103,2.5
22,107,4.772
140,72,3
29,78,6
112,126,5.085
59,78,6.5
13,57,6
82,22,1.5
126,57,5
114,74,4
100,131,4.5
59,126,6.469
22,13,0.271
20,62,2.5
112,86,3.5
13,117,0.5
2,78,4
22,3,2
92,126,3.772
100,39,0.5
62,126,5
100,37,2
123,3,0
1,142,1.085
59,57,3
22,126,4
102,47,0.5
70,55,2.5
6,107,5.5
57,107,4.5
128,63,-0.5
119,137,1.5
132,137,1.937
95,102,2
98,74,4
70,19,3
100,57,6.5
92,133,2.5
114,126,5
112,100,4.772
100,126,6
112,92,3.5
27,146,2.5
92,78,3.5
112,74,1
39,20,1.766
123,78,6
62,78,5
59,107,5.5
59,22,4.772
20,109,7
117,57,5.5
92,62,1
55,47,1.5
39,109,5.585
100,132,1.5
59,19,0
13,62,1
92,109,4.622
59,3,6.772
109,126,7.5
114,92,1.5
126,137,1
59,62,5
37,109,7.17
22,132,1.5
47,80,3.5
114,100,2
128,123,3.5
29,37,2.5
100,109,5.937
81,137,3
37,134,3
128,92,3.5
92,86,3
37,126,5.5
123,89,1
142,65,0.271
59,123,6.209
92,74,3
92,132,0.937
3,92,0
142,146,1
92,29,1
61,65,0
1,65,1
13,39,-0.5
81,131,4
13,137,4.5
13,29,1
22,86,3.5
22,57,6
13,92,-0.5
112,137,5
22,100,2.272
78,126,4.5
3,117,0.5
3,57,5.5
20,89,0
117,103,4
134,78,4
10,63,4
134,20,0
103,137,6.272
132,27,1
62,109,6
59,72,4
92,39,0
123,109,7.615
112,114,4.5
59,109,6.17
103,131,4.5
59,74,0.5
27,65,0.5
92,37,1
100,103,4
123,29,1.5
59,140,0
55,102,2
22,123,2.5
27,58,1.5
59,81,5.5
128,100,3.5
81,126,6.5
59,100,5.614
137,107,5
27,142,1
126,131,0.271
22,98,0.5
3,109,6
100,137,4.5
112,98,4.5
63,109,7
100,86,4.5
2,109,6
123,37,1.585
134,109,5
70,95,1.5
82,92,-0.5
59,63,0
22,117,2.272
140,19,1
59,10,2
114,86,5
59,131,4.437
3,37,0.5
37,62,1
22,131,5.5
59,92,4.779
22,74,3
3,78,3
13,20,2.5
